 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
27715,27,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,296296.2963,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,37037.03704,37037.03704,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,779151,3,5,26,11607,20,0,8.666666667,10.26320288,8760,0,2321.4,3802.315321,14930.35368,10.26758613,111307.2857,294079.6219,778217,2,796,398.0,398.8082246,680,116,779105,194776.25,388960.6611,778217,2,0,0,0,0,72,112,3.850344798,6.417241331,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,40737,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,285416.2064,196.3816678,5819.571429,14743.42654,39248,4,39270,19635.0,27742.62745,39252,18,40733,10183.25,19431.01199,39327,197,0,0,0,0,72,112,73.64312541,122.7385424,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
5906,62,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,129032.2581,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16129.03226,16129.03226,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,99741700,8,7,614,11595,295,0,76.75,134.7322742,5792,0,1656.428571,2120.732252,122.4061752,0.150388453,7124407.143,26600000.0,99400000,1,99600000,14200000.0,37500000.0,99400000,1,99700000,16600000.0,40500000.0,99400000,46,0,0,0,0,216,232,0.080207175,0.070181278,0,5792,763.4375,1571.41469,2469344.129,1,0,0,0,0,0,0,0,0,814.3333333,76.75,1656.428571,216,0,0,0,0,0,0,8,614,7,11595,0,235,5,20,14011.0,0.0,14011,14011,99400000.0,0.0,99400000,99400000
80,99072754,8,6,324,11595,324,0,40.5,114.5512986,4344,0,1932.5,1977.812908,120.3055282,0.141310294,7620981.077,27400000.0,98900000,1,98900000,14100000.0,37400000.0,98900000,1,142552,28510.4,56994.93417,130047,86,0,0,0,0,264,200,0.080748739,0.060561555,0,4344,794.6,1525.970314,2328585.4,0,0,0,0,1,0,0,0,0,851.3571429,40.5,1932.5,264,0,0,0,0,0,0,8,324,6,11595,251,235,1,32,1946.0,0.0,1946,1946,98900000.0,0.0,98900000,98900000
80,67000800,7,6,684,11595,333,0,97.71428571,160.7531382,5792,0,1932.5,2181.008184,183.2664685,0.194027534,5583400.0,19200000.0,66600000,0,66800000,11100000.0,27200000.0,66600000,0,380643,76128.6,107005.7226,225137,47,0,0,0,0,196,200,0.104476364,0.08955117,0,5792,877.5,1655.600182,2741011.962,1,0,0,0,0,0,0,0,0,945.0,97.71428571,1932.5,196,0,0,0,0,0,0,7,684,6,11595,0,235,4,20,13016.0,0.0,13016,13016,66600000.0,0.0,66600000,66600000
3580,26,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,307692.3077,76923.07692,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,38461.53846,38461.53846,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,98362725,6,6,306,11595,306,0,51.0,124.9239769,4344,0,1932.5,1754.831473,120.9909547,0.121997433,8942065.909,29600000.0,98300000,3,98300000,19700000.0,43900000.0,98300000,3,84487,16897.4,31832.9523,73214,47,0,0,0,0,200,200,0.060998717,0.060998717,0,4344,915.4615385,1500.089809,2250269.436,0,0,0,0,1,0,0,0,1,991.75,51.0,1932.5,200,0,0,0,0,0,0,6,306,6,11595,274,235,1,32,998.0,0.0,998,998,98300000.0,0.0,98300000,98300000
80,98837809,6,6,363,11595,363,0,60.5,148.1941294,5792,0,1932.5,2537.820147,120.9860894,0.121411028,8985255.364,29800000.0,98800000,1,98800000,19800000.0,44200000.0,98800000,1,1758,351.6,635.7309179,1483,2,0,0,0,0,200,200,0.060705514,0.060705514,0,5792,919.8461538,1909.237232,3645186.808,0,0,0,0,1,0,0,0,1,996.5,60.5,1932.5,200,0,0,0,0,0,0,6,363,6,11595,251,235,1,32,2.0,0.0,2,2,98800000.0,0.0,98800000,98800000
