 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
52822,46,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,130434.7826,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,21739.13043,21739.13043,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,4136764,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,5.801636255,0.966939376,1378921.333,2387840.462,4136162,242,4136764,1378921.333,2387840.462,4136162,242,0,0.0,0.0,0,0,0,0,0,0,80,0,0.966939376,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,97873761,8,5,376,11595,370,0,47.0,130.5285957,5792,0,2319.0,2423.629716,122.310616,0.132824159,8156146.75,28200000.0,97700000,3,97700000,14000000.0,36900000.0,97700000,3,148471,37117.75,65673.57198,135206,62,0,0,0,0,252,168,0.081737944,0.051086215,0,5792,855.0714286,1760.367202,3098892.687,0,0,0,0,1,0,0,0,0,920.8461538,47.0,2319.0,252,0,0,0,0,0,0,8,376,5,11595,274,235,2,20,2007.0,0.0,2007,2007,97700000.0,0.0,97700000,97700000
50428,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,110,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,7887395,2,2,114,254,60,54,57.0,4.242640687,135,119,127.0,11.3137085,46.65672253,0.507138288,2629131.667,4449116.6,7766529,60391,7826920,7826920.0,0.0,7826920,7826920,7827004,7827004.0,0.0,7827004,7827004,0,0,0,0,52,52,0.253569144,0.253569144,54,135,84.4,39.37384919,1550.3,0,0,0,0,0,0,0,0,1,105.5,57.0,127.0,52,0,0,0,0,0,0,2,114,2,254,-1,-1,1,20,60391.0,0.0,60391,60391,7766529.0,0.0,7766529,7766529
2270,303662,2,2,12,43,6,6,6.0,0.0,37,6,21.5,21.92031022,181.1224322,13.17254052,101220.6667,135407.0929,255054,85,48608,48608.0,0.0,48608,48608,303577,303577.0,0.0,303577,303577,0,0,0,0,40,40,6.586270261,6.586270261,6,37,12.2,13.86362146,192.2,0,0,0,0,1,1,0,0,1,15.25,6.0,21.5,40,0,0,0,0,0,0,2,12,2,43,351,16324,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,415567,3,4,581,907,581,0,193.6666667,335.4405064,907,0,226.75,453.5,3580.650052,16.84445589,69261.16667,106823.6924,207194,4,207342,103671.0,146492.7261,207257,85,208373,69457.66667,119369.2398,207292,4,0,0,0,0,104,136,7.219052523,9.625403365,0,907,186.0,355.2548381,126206.0,0,0,0,1,0,0,0,0,1,212.5714286,193.6666667,226.75,104,0,0,0,0,0,0,3,581,4,907,29200,4961,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,31988,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,363667.6254,250.0937852,4569.714286,11626.43079,30932,4,785,392.5,362.7457787,649,136,31946,7986.5,15300.98484,30932,4,0,0,0,0,72,112,93.78516944,156.3086157,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
443,117387157,12,12,612,4134,193,0,51.0,70.1673324664,1398,0,344.5,549.2645496066,40.430317262,0.2044516676,5103789.43478261,16870998.9449427,58586716,1,117387157,10671559.7272727,23697121.3339225,58615949,210,117364970,10669542.7272727,23703939.6320034,58650152,1,0,0,0,0,392,392,0.1022258338,0.1022258338,0,1398,189.84,404.514078865,163631.64,0,0,0,1,0,0,0,0,1,197.75,51.0,344.5,392,0,0,0,0,0,0,12,612,12,4134,29200,118,6,32,112165.5,68906.8487198479,160890,63441,58570401.0,23072.894270117,58586716,58554086
22,1271524,41,42,2728,6634,456,0,66.5365853659,110.1299454193,976,0,157.9523809524,319.121427488,7362.8181615133,65.2759995093,15506.3902439024,105715.310647174,953604,1,1271524,31788.1,159048.739271283,997072,1,317826,7751.8536585366,18462.1246875339,92889,1,0,0,0,0,1328,1360,32.2447708419,33.0312286673,0,976,111.4523809524,241.6427914691,58391.2386689616,0,0,0,1,0,0,0,0,1,112.7951807229,66.5365853659,157.9523809524,1328,0,0,0,0,0,0,41,2728,42,6634,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0
